SOLUTION 1 blocks=19
1 4 7
1 8 9
2 5 10
2 8 11
3 6 12
3 13 14
4 13 15
5 16 17
6 16 18
7 9 17
7 15 16
8 12 18
9 12 14
10 11 13
10 14 17
11 15 18
SOLUTION 35 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 8 11
3 6 12
3 13 14
4 13 15
5 16 17
6 17 18
7 9 16
7 15 17
8 12 18
9 12 14
10 11 13
10 14 16
11 15 18
SOLUTION 36 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 8 11
3 6 12
3 13 14
4 13 15
5 16 17
6 17 18
7 9 17
7 15 18
8 12 14
9 14 16
10 11 15
10 13 16
11 12 18
SOLUTION 37 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 8 11
3 6 12
3 13 14
4 14 15
5 16 17
6 16 18
7 9 16
7 15 18
8 12 13
9 13 17
10 11 15
10 14 17
11 12 18
SOLUTION 38 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 8 11
3 6 12
3 13 14
4 14 15
5 16 17
6 16 18
7 9 17
7 15 16
8 12 18
9 12 13
10 11 14
10 13 17
11 15 18
SOLUTION 39 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 8 11
3 6 12
3 13 14
4 14 15
5 16 17
6 17 18
7 9 16
7 15 17
8 12 18
9 12 13
10 11 14
10 13 16
11 15 18
SOLUTION 40 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 8 11
3 6 12
3 13 14
4 14 15
5 16 17
6 17 18
7 9 17
7 15 18
8 12 13
9 13 16
10 11 15
10 14 16
11 12 18
SOLUTION 41 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 9 11
3 6 12
3 13 14
4 13 15
5 16 17
6 16 18
7 8 16
7 15 18
8 14 17
9 12 14
10 11 15
10 13 17
11 12 18
SOLUTION 42 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 9 11
3 6 12
3 13 14
4 13 15
5 16 17
6 16 18
7 8 17
7 15 16
8 12 14
9 12 18
10 11 13
10 14 17
11 15 18
SOLUTION 43 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 9 11
3 6 12
3 13 14
4 13 15
5 16 17
6 17 18
7 8 16
7 15 17
8 12 14
9 12 18
10 11 13
10 14 16
11 15 18
SOLUTION 44 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 9 11
3 6 12
3 13 14
4 13 15
5 16 17
6 17 18
7 8 17
7 15 18
8 14 16
9 12 14
10 11 15
10 13 16
11 12 18
SOLUTION 45 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 9 11
3 6 12
3 13 14
4 14 15
5 16 17
6 16 18
7 8 16
7 15 18
8 13 17
9 12 13
10 11 15
10 14 17
11 12 18
SOLUTION 46 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 9 11
3 6 12
3 13 14
4 14 15
5 16 17
6 16 18
7 8 17
7 15 16
8 12 13
9 12 18
10 11 14
10 13 17
11 15 18
SOLUTION 47 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 9 11
3 6 12
3 13 14
4 14 15
5 16 17
6 17 18
7 8 16
7 15 17
8 12 13
9 12 18
10 11 14
10 13 16
11 15 18
SOLUTION 48 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 9 11
3 6 12
3 13 14
4 14 15
5 16 17
6 17 18
7 8 17
7 15 18
8 13 16
9 12 13
10 11 15
10 14 16
11 12 18
SOLUTION 49 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 8 11
3 5 12
3 13 14
4 13 15
5 16 17
6 16 18
7 9 16
7 15 17
8 12 14
9 14 18
10 11 15
10 13 18
11 12 17
SOLUTION 50 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 8 11
3 5 12
3 13 14
4 13 15
5 16 17
6 16 18
7 9 18
7 15 16
8 12 17
9 12 14
10 11 13
10 14 18
11 15 17
SOLUTION 51 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 8 11
3 5 12
3 13 14
4 13 15
5 16 17
6 17 18
7 9 17
7 15 16
8 12 14
9 14 18
10 11 15
10 13 18
11 12 16
SOLUTION 52 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 8 11
3 5 12
3 13 14
4 13 15
5 16 17
6 17 18
7 9 18
7 15 17
8 12 16
9 12 14
10 11 13
10 14 18
11 15 16
SOLUTION 53 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 8 11
3 5 12
3 13 14
4 14 15
5 16 17
6 16 18
7 9 16
7 15 17
8 12 13
9 13 18
10 11 15
10 14 18
11 12 17
SOLUTION 54 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 8 11
3 5 12
3 13 14
4 14 15
5 16 17
6 16 18
7 9 18
7 15 16
8 12 17
9 12 13
10 11 14
10 13 18
11 15 17
SOLUTION 55 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 8 11
3 5 12
3 13 14
4 14 15
5 16 17
6 17 18
7 9 17
7 15 16
8 12 13
9 13 18
10 11 15
10 14 18
11 12 16
SOLUTION 56 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 8 11
3 5 12
3 13 14
4 14 15
5 16 17
6 17 18
7 9 18
7 15 17
8 12 16
9 12 13
10 11 14
10 13 18
11 15 16
SOLUTION 57 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 9 11
3 5 12
3 13 14
4 13 15
5 16 17
6 16 18
7 8 16
7 15 17
8 14 18
9 12 14
10 11 15
10 13 18
11 12 17
SOLUTION 58 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 9 11
3 5 12
3 13 14
4 13 15
5 16 17
6 16 18
7 8 18
7 15 16
8 12 14
9 12 17
10 11 13
10 14 18
11 15 17
SOLUTION 59 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 9 11
3 5 12
3 13 14
4 13 15
5 16 17
6 17 18
7 8 17
7 15 16
8 14 18
9 12 14
10 11 15
10 13 18
11 12 16
SOLUTION 60 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 9 11
3 5 12
3 13 14
4 13 15
5 16 17
6 17 18
7 8 18
7 15 17
8 12 14
9 12 16
10 11 13
10 14 18
11 15 16
SOLUTION 61 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 9 11
3 5 12
3 13 14
4 14 15
5 16 17
6 16 18
7 8 16
7 15 17
8 13 18
9 12 13
10 11 15
10 14 18
11 12 17
SOLUTION 62 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 9 11
3 5 12
3 13 14
4 14 15
5 16 17
6 16 18
7 8 18
7 15 16
8 12 13
9 12 17
10 11 14
10 13 18
11 15 17
