24 1 24 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;7,22,23;8,21,23;9,24,25;10,26,27;11,12,28
25 1 25 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;7,22,23;8,21,23;9,24,25;10,26,27;11,13,28
26 1 26 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,23;9,25,26;10,25,27;10,26,28
27 1 27 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,24;9,25,26;10,25,27;10,26,28
28 1 28 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,23;9,25,26;10,25,27;10,26,28
29 1 29 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,24;9,25,26;10,25,27;10,26,28
30 1 30 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,23;9,25,26;9,27,28;10,25,27
31 1 31 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,23;9,25,26;9,27,28;10,25,28
32 1 32 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,23;9,25,26;9,27,28;10,26,27
33 1 33 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,23;9,25,26;9,27,28;10,26,28
34 1 34 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,24;9,25,26;9,27,28;10,25,27
35 1 35 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,24;9,25,26;9,27,28;10,25,28
36 1 36 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,24;9,25,26;9,27,28;10,26,27
37 1 37 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,21,24;9,25,26;9,27,28;10,26,28
38 1 38 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,23;9,25,26;9,27,28;10,25,27
39 1 39 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,23;9,25,26;9,27,28;10,25,28
40 1 40 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,23;9,25,26;9,27,28;10,26,27
41 1 41 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,23;9,25,26;9,27,28;10,26,28
42 1 42 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,24;9,25,26;9,27,28;10,25,27
43 1 43 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,24;9,25,26;9,27,28;10,25,28
44 1 44 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,24;9,25,26;9,27,28;10,26,27
45 1 45 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;7,23,24;8,22,24;9,25,26;9,27,28;10,26,28
46 2 0 29 12 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,9,13;4,10,14;5,15,16;6,17,18;7,19,20;8,15,21;8,16,22;9,23,24;10,25,26;11,17,27;11,18,28
47 2 1 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,9,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;10,24,26;10,25,27;11,18,28
48 2 2 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,9,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;10,24,26;10,25,27;11,19,28
49 2 3 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,10,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;9,26,27;10,24,26;11,18,28
50 2 4 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,10,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;9,26,27;10,24,26;11,19,28
51 2 5 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,10,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;9,26,27;10,24,27;11,18,28
52 2 6 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,10,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;9,26,27;10,24,27;11,19,28
53 2 7 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,10,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;9,26,27;10,25,26;11,18,28
54 2 8 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,10,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;9,26,27;10,25,26;11,19,28
55 2 9 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,10,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;9,26,27;10,25,27;11,18,28
56 2 10 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,7,12;4,10,13;4,14,15;5,16,17;6,18,19;7,20,21;8,16,22;8,17,23;9,24,25;9,26,27;10,25,27;11,19,28
57 2 11 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,12,13;4,9,14;4,10,15;5,16,17;6,18,19;7,18,20;7,19,21;8,16,22;8,17,23;9,24,25;10,26,27;11,12,28
58 2 12 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,12,13;4,9,14;4,10,15;5,16,17;6,18,19;7,18,20;7,19,21;8,16,22;8,17,23;9,24,25;10,26,27;11,13,28
59 2 13 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,12,13;4,9,14;4,15,16;5,17,18;6,19,20;7,19,21;7,20,22;8,17,23;8,18,24;9,25,26;10,25,27;10,26,28
60 2 14 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;7,19,21;7,20,22;8,17,23;8,18,24;9,25,26;9,27,28;10,25,27
61 2 15 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;7,19,21;7,20,22;8,17,23;8,18,24;9,25,26;9,27,28;10,25,28
62 2 16 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;7,19,21;7,20,22;8,17,23;8,18,24;9,25,26;9,27,28;10,26,27
63 2 17 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,6,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;7,19,21;7,20,22;8,17,23;8,18,24;9,25,26;9,27,28;10,26,28
64 2 18 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,9,14;4,10,15;5,16,17;6,18,19;6,20,21;7,18,20;8,16,22;8,17,23;9,24,25;10,26,27;11,12,28
65 2 19 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,9,14;4,10,15;5,16,17;6,18,19;6,20,21;7,18,20;8,16,22;8,17,23;9,24,25;10,26,27;11,13,28
66 2 20 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,9,14;4,10,15;5,16,17;6,18,19;6,20,21;7,18,21;8,16,22;8,17,23;9,24,25;10,26,27;11,12,28
67 2 21 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,9,14;4,10,15;5,16,17;6,18,19;6,20,21;7,18,21;8,16,22;8,17,23;9,24,25;10,26,27;11,13,28
68 2 22 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,9,14;4,10,15;5,16,17;6,18,19;6,20,21;7,19,20;8,16,22;8,17,23;9,24,25;10,26,27;11,12,28
